iter	Logloss
0	0.6878157299
1	0.6831783159
2	0.6774850269
3	0.6723297469
4	0.6667252989
5	0.6622403616
6	0.6570131666
7	0.6526353032
8	0.6490174028
9	0.6448422467
10	0.6422801277
11	0.6379066278
12	0.6341758842
13	0.6304924868
14	0.627260342
15	0.6233488773
16	0.6198497693
17	0.6164792819
18	0.6117034069
19	0.607538954
20	0.6035864212
21	0.5999432207
22	0.596924135
23	0.5926951152
24	0.5894097106
25	0.5864460232
26	0.5846558733
27	0.5814854314
28	0.5784131388
29	0.5757362195
30	0.5729623211
31	0.570499787
32	0.5680316644
33	0.565728459
34	0.5634133344
35	0.5612629253
36	0.5591755428
37	0.5567605103
38	0.553403352
39	0.550798361
40	0.5475236264
41	0.5448798427
42	0.5424052129
43	0.5404069659
44	0.5375305834
45	0.5350485686
46	0.5329831745
47	0.5312660944
48	0.5287346258
49	0.5269946148
50	0.524242504
51	0.5232209019
52	0.5206555883
53	0.5185790886
54	0.5171429658
55	0.515117907
56	0.5126238751
57	0.5109127834
58	0.5089543959
59	0.5073638022
60	0.5059848858
61	0.5051673408
62	0.5033276744
63	0.5020851276
64	0.5000381319
65	0.497591636
66	0.4960379216
67	0.4946232277
68	0.4939233979
69	0.4923240951
70	0.4909285693
71	0.4888227536
72	0.4878866598
73	0.4867191867
74	0.4861049203
75	0.484607272
76	0.4840181387
77	0.4821682971
78	0.4809841589
79	0.4788048126
80	0.4772701371
81	0.4767433576
82	0.4762265405
83	0.4751569324
84	0.4743307452
85	0.4732584079
86	0.472005648
87	0.4704989735
88	0.4700444863
89	0.4692558917
90	0.4678547426
91	0.4667047974
92	0.4652035955
93	0.4636709063
94	0.4627102525
95	0.4610335119
96	0.4607024495
97	0.4589418975
98	0.4574371554
99	0.4565356797
100	0.4561830568
101	0.4551561052
102	0.4536446906
103	0.452499841
104	0.4516072735
105	0.4507024685
106	0.4495274305
107	0.4485889691
108	0.4479656886
109	0.4470239144
110	0.4457135793
111	0.4449436042
112	0.4439099831
113	0.4423820693
114	0.4422300394
115	0.4413775501
116	0.4402607589
117	0.4396289628
118	0.4390352855
119	0.4383089583
120	0.4375335928
121	0.4368335941
122	0.4358653932
123	0.435041593
124	0.4344861425
125	0.4342015685
126	0.4336459146
127	0.4329045807
128	0.431962213
129	0.431405953
130	0.4306044099
131	0.4297486449
132	0.4292397621
133	0.4282851887
134	0.4273643245
135	0.4269048925
136	0.4263043932
137	0.4254463712
138	0.4252806938
139	0.4247445514
140	0.4241228787
141	0.4236871324
142	0.4232536912
143	0.423097026
144	0.4227056322
145	0.4221384677
146	0.4219883979
147	0.4215268938
148	0.4209179693
149	0.420364794
150	0.4199314309
151	0.4194637226
152	0.4191756521
153	0.418748496
154	0.4182337867
155	0.4181680507
156	0.41801638
157	0.4176024321
158	0.417198831
159	0.4168821294
160	0.4163968648
161	0.4155925177
162	0.4148951945
163	0.4146909732
164	0.4142047473
165	0.4131764121
166	0.4127038898
167	0.4123634372
168	0.4116582664
169	0.4112718673
170	0.4106831532
171	0.4102451616
172	0.4100611088
173	0.4097984746
174	0.409347068
175	0.4089786986
176	0.4087575442
177	0.4079950498
178	0.4075364313
179	0.4067743506
180	0.4060671701
181	0.4055104877
182	0.4047746058
183	0.4043372505
184	0.4038385044
185	0.4035871177
186	0.4033269547
187	0.402818449
188	0.4019534196
189	0.4015711059
190	0.4012662892
191	0.4007662379
192	0.4003482139
193	0.4000010223
194	0.3994657268
195	0.3989341604
196	0.3985536622
197	0.39818746
198	0.398024244
199	0.3971827739
200	0.3969784064
201	0.3968199577
202	0.396666763
203	0.3964979777
